분류번호,사무명,사무개요,신청유형,단순/복합,수수료,수수료내역,보관기간,등록일자,적용일자,폐지일자,소관부처,담당부서
1500000-0653,기계식주차장치 철거신고,"기계식주차장치를 철거하고자 하는 경우 시,군, 구에 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0652,기계식주차장치 안전도인증서 재교부,기계식주차장치 안전도인증서를 분실하거나 훼손으로 인해 재교부를 신청하는 민원사무입니다.,교부,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0651,기계식주차장치보수업 변경신고,"업체명, 대표자, 소재지 등이 변경된 경우 변경등록하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0650,기계식주차장치보수업 휴업·폐업·재개업 신고,"기계식주차장치보수업을 휴업, 폐업, 재개업하는 경우 신청하는 민원사무입니다. ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0649,부설주차장 설치의무 면제신청,부설주차장 설치의무를 면제받고자 하는 경우 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0648,노외주차장 변경통보,노외주차장을 설치한 후 통보한 사항이 변경되는 경우 변경사항을 통보하는 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0647,기계식주차장치보수업 등록증 재교부,등록증을 분실하거나 훼손한 경우 재발급을 받기 위해서 신청하는 민원사무입니다.,교부,단순민원,단일 수수료,"건당 20,000원",3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0646,기계식주차장치보수업 등록,기계식주차장치 보수업을 하고자 하는 경우에 등록하여야 하는 민원사무입니다.,등록,단순민원,단일 수수료,"건당 50,000원",3년,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0644,주택거래계약신고,주택거래신고지역에서 주택거래계약을 체결하는 경우에 거래내역 등을 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,없음,2013.04.11,2013.04.12,,국토교통부,주택정책과
1500000-0641,부설주차장 용도변경 신청,부설주차장의 용도변경을 할 경우 신청하는 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,없음,2013.04.11,2013.04.12,,국토교통부,도시광역교통과
1500000-0637,항공훈련기관지정,항공안전운항을 위하여 항공훈련기관의 지정를 받고자 하는 자가 신청하는 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없음,10년,2016.05.16,2016.05.17,,국토교통부,항공안전정책과
1500000-0632,도시계획시설부지매수청구,도시관리계획의 고시일부터 10년이내에 도시계획시설사업이 시행되지 않는 경우에는 그 소유자는 시장.군수에게 토지의 매수를 청구할 수 있는 민원사무입니다.,청구,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시정책과
1500000-0631,행위허가 (시가화조정구역),"건축물의 건축, 토지형질변경 등 개발행위를 하고자 하는 자가 개발행위허가를 받기 위하여 신청하는 민원사무입니다.",허가,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시정책과
1500000-0630,이륜자동차의 제원통보,이륜자동차 제작자등은 이륜자동차의 제원을 판매개시 10일전까지 성능시험대행자에게 제출하여야 하는 민원사무입니다.,제출,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.04.01,,국토교통부,자동차운영보험과
1500000-0629,자동차 제원통보,제작자등은 자동차의 판매개시 10일전까지 제원통보서를 성능시험대행자에게 제출하여야 하는 민원사무입니다.,제출,단순민원,수수료 없음,수수료 없음,10년,2014.02.20,2014.04.01,,국토교통부,자동차운영보험과
1500000-0628,자동차 성능시험 신청,제작자등이 자동차에 사용되는 부품 또는 장치의 인증을 신청하고자 하는 경우에는 국토교통부장관에게 성능시험신청서를 제출하여야 하는 민원사무입니다.,제출,단순민원,기타,시험에 소요되는 실제비용,없음,2013.04.12,2013.04.13,,국토교통부,자동차정책과
1500000-0627,자기인증면제 신청,자기인증을 면제받고자 하는 자는 자기인증면제신청서를 교통안전공단에 제출하여야는 민원사무입니다.,제출,단순민원,수수료 없음,수수료 없음,5년,2013.04.11,2013.04.12,,국토교통부,자동차정책과
1500000-0626,자동차 안전검사 신청,기술검토서를 교부받은 자가 제작등을 한 자동차에 대한 안전검사를 받고자 하는 때에는 성능시험대행자에게 제출하여야 하는 민원사무입니다.,검사,단순민원,기타,성능시험자가 정한 금액,10년,2013.04.11,2013.04.12,,국토교통부,자동차정책과
1500000-0625,자동차 기술검토 신청,기술검토를 받고자 하는 제작자 등이 성능시험대행자에게 제출하여야 하는 민원사무입니다.,제출,단순민원,기타,성능시험대행자가 정한 금액,3년,2013.08.06,2013.08.07,,국토교통부,자동차운영보험과
1500000-0624,자동차제작자 등 (변경)등록 및 등록증 재발급,"자기인증을 하고자 하는 자는 자동차의 제작, 시험, 검사시설 등을 국토교통부장관에게 등록하여야 하는 민원사무입니다.",교부,단순민원,수수료 없음,수수료 없음,3년,2015.04.09,2015.04.10,,국토교통부,자동차정책과
1500000-0620,건설업등록사항신고(주기적 신고),일반건설업 또는 전문건설업을 등록한 자는 등록기준에 관한 사항을 주기적으로 신고를 하여야 하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,없음,2015.07.27,2015.07.31,,국토교통부,건설경제과
1500000-0616,항공운송사업 운항증명,"항공운송사업자는 인력,장비, 시설 및 운항관리지원등 안전운항체계에 대하여 검사를 받아 운항증명을 받은 후 운항을 개시하여야 하며, 운항신청증명서에 별표30의3의 서류를 첨부하여 운항개시예정일 90일전까지 제출하여야 하는 민원사무입니다.",증명,단순민원,단일 수수료,"78만원(항공법시행규칙 제328조, 항공기등에관한수수료(고시))",10년,2013.04.11,2013.04.12,,국토교통부,항공운항과
1500000-0614,지하수개발 이용 종료신고,"지하수개발.이용을 종료하고자 하는 경우, 그 이용 종료신고를 하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.11,2013.04.12,,국토교통부,수자원정책과
1500000-0612,수입항공기 등 형식증명승인,외국정부로부터 항공기등의 설계에 관하여 형식승인을 받은 항공기등을 대한민국에 수출하고자 하는 제작자가 항공기등의 형식별로 외국정부의 형식증명이 기술수준에 적합한지의 여부에 대하여 국토교통부장관의 승인을 얻고자 하는 경우 신청하는 민원사무입니다.,증명,단순민원,기타,항공기등에관한수수료(국토교통부 고시)에 의함,영구,2014.03.19,2014.04.01,,국토교통부,항공기술과
1500000-0610,"감항증명서, 시험비행 등의 허가서 재발급","감항증명서, 시험비행 등의를 허가서를 잃어버렸거나 못쓰게 되어 재발급을 받고자 하는 경우 신청하는 민원사무입니다.",교부,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,항공기술과
1500000-0609,항공운송사업 운영기준인가,항공운송사업자가 항공운송사업 운영기준을 인가 신청하는 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없음,10년,2013.04.11,2013.04.12,,국토교통부,항공운항과
1500000-0607,지하수에 영향을 미치는 굴착행위 (변경)신고,지하수에 영향을 미치는 토지굴착행위을 할 경우 신고를 하거나 변경신고를 하는 민원사무입니다,신고,단순민원,수수료 없음,수수료 없음,없음,2013.04.11,2013.04.12,,국토교통부,수자원정책과
1500000-0605,유출지하수 이용계획 신고,규모이상의 지하수가 유출되는 경우 이용계획을 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.11,2013.04.12,,국토교통부,수자원정책과
1500000-0604,건설기계 형식신고(변경신고),건설기계형식의 신고 또는 변경신고하고자 하는 경우 대한건설기계안전관리원(타워크레인의 경우 한국산업안전보건공단)에 신청하는 민원사무입니다.,신고,단순민원,사례별 수수료,"형식신고-420,000원, 형식변경신고-210,000원",5년,2015.07.28,2013.04.12,,국토교통부,건설인력기재과
1500000-0603,위탁관리부동산투자회사 영업인가,위탁관리부동산투자회사를 설립하기 위하여 국토교통부장관에게 인가를 신청하는 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없읍,영구,2013.04.12,2013.04.13,,국토교통부,부동산산업과
1500000-0602,동일형식 건설기계 수입신고,이미 형식승인을 얻거나 형식신고를 한 건설기계와 동일한 형식의 건설기계를 수입한 경우 국토해양부에 신청하는 민원사무입니다.,신고,단순민원,단일 수수료,"20,000원",5년,2015.07.28,2013.04.12,,국토교통부,건설인력기재과
1500000-0601,항공기 등 정비조직인증,"항공기취급업을 등록한 자가 항공기등, 장비품 또는 부품에 대한 정비를 하고자 하는 경우 인력, 설비 및 검사체계 등에 관한기준 등을 갖추고 정부의 인증을 얻고자하는 경우 신청하는 민원사무입니다.",증명,단순민원,사례별 수수료,"신규-78만원, 한정사항변경등 기타사항-39만원(항공법시행규칙제328조, 항공기등에관한수수료(고시))",영구,2014.04.15,2014.04.16,,국토교통부,항공기술과
1500000-0599,항공기 등 제작증명,항공기등을 제작하고자 하는 자가 국토교통부장관으로부터 기술기준에 적합하게 항공기등을 제작할 수 있는 기술.설비.인력 및 검사체계등을 갖추고 있음을 증명하는 인증을 받고자 하는 경우 신청하는 민원사무입니다.,증명,단순민원,기타,항공법시행규칙제328조,영구,2014.02.20,2014.02.21,,국토교통부,항공기술과
1500000-0598,부동산투자자문회사등록,부동산투자자문업을 하기 위하여 국토해양부장관에게 등록신청을 하는 민원사무입니다.,등록,단순민원,수수료 없음,수수료 없음,영구,2013.04.11,2013.04.12,,국토교통부,부동산산업과
1500000-0596,자산관리회사인가,자산관리회사를 설립하기 위하여 국토해양부장관에게 인가를 신청하는 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없음,영구,2013.04.11,2013.04.12,,국토교통부,부동산산업과
1500000-0595,기업구조조정부동산투자회사인가 영업인가,기업구조조정부동산투자회사를 설립하기 위하여 국토해양부장관에게 인가를 신청하는 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없음,영구,2013.04.11,2013.04.12,,국토교통부,부동산산업과
1500000-0594,(도시개발사업 조성토지 등의)준공 전 사용허가신청,조성토지 등을 준공 전에 사용하고자 하는 경우에 그 범위를 정하여 준공 전 사용허가신청서를 제출하여 허가를 받기 위한 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시재생과
1500000-0592,도시개발구역지정 제안서 제출,도시개발구역의 지정을 제안하고자 하는 자가 국토교통부령이 정하는 서류를 해당기관에 제출하는 민원사무입니다.,제출,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.02.21,,국토교통부,도시재생과
1500000-0591,도시개발사업시행자 지정 신청,도시개발사업시행자로 지정 받고자 하는 자가 사업시행자지정신청서를 지정권자에게 신청하는 민원사무입니다.,지정,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,도시재생과
1500000-0589,자가용자동차 노선운행허가,자가용자동차가 고객을 유치할 목적으로 노선운행을 하고자 하는 경우 신청하는 민원사무입니다.,허가,단순민원,단일 수수료,자동차 1대당 1400원,3년,2016.03.14,2016.03.23,,국토교통부,대중교통과
1500000-0588,복합물류터미널사업의 휴업·폐업(합병 외의 사유에 따른 해산)신고,"복합물류터미널 사업자가 복합물류터미널사업을 일정기간 동안 휴지하거나 폐지, 합병외의 사유에 의한 해산하고자 하는 경우 신고하는 민원사무입니다. ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,물류시설정보과
1500000-0587,외국인 국제항공운송사업계획 변경 신고,외국인국제항공운송사업계획에 변경사항이 있는 경우 이를 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2016.03.10,2016.03.11,,국토교통부,국제항공과
1500000-0586,외국항공기 운항허가(국내사용허가),국제민간항공조약의 체약국인 외국의 국적을 가진 항공기의 사용자가 항행을 하고자 하는 경우에는 국토교통부장관의 허가를 받기 위해 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2016.03.10,2016.03.23,,국토교통부,국제항공과
1500000-0584,"국내,국제,소형항공운송사업,항공기사용사업 계획변경신고","국내,국제,소형항공운송사업 또는 항공기사용사업자가 기상의 악화로 운항이 곤란하거나 기타 부득이한 사유가 있어서 사업계획을 변경하고자 하는 경우에 변경인가를 신청하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.11,2013.04.12,,국토교통부,항공산업과
1500000-0583,국내. 국제. 소형항공운송사업 부정기편 운항허가,"악기상 및 항공기 고장으로 인한 대기승객의 수송, 승객 또는 화물의 급증, 기타 부득이한 사유가 있는 경우에 항공노선의 부정기편 운항허가를 신청하는 민원사무입니다.(2주 이상은 국토교통부, 2주미만은 지방항공청)",인가,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,항공산업과
1500000-0582,외국인 국제항공운송사업계획 변경인가,외국인국제항공운송사업을 하는 자가 기상의 악화로 운항이 곤란하거나 기타 부득이한 사유가 있어서 사업계획을 변경하고자 하는 경우에 인가를 신청하는 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없음,3년,2016.03.10,2014.09.11,,국토교통부,국제항공과
1500000-0581,측량기기 성능검사 대행자 변경등록(변경신고),측량기기 성능검사 대행자를 변경등록(변경신고)할 경우 신청하는 민원사무입니다.,등록,단순민원,수수료 없음,수수료 없음,3년,2015.11.26,2015.11.30,,국토교통부,공간정보제도과
1500000-0578,건축사사무소 개설 신고확인증·엔지니어링사업자 소속 건축사 신고확인증·건설업자 소속 건축사 신고확인증 재발급,건축사사무소 개설 신고확인증·엔지니어링사업자 소속 건축사 신고확인증·건설업자 소속 건축사 신고확인증을 재발급 받기 위하여 신청하는 민원사무입니다.,교부,단순민원,기타,"2,000원",3년,2015.07.31,2015.08.01,,국토교통부,건축문화경관과
1500000-0570,폐천부지 교환(양여)신청,폐천부지를 교환(양여)신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0569,하천 점·사용 원상회복 의무면제 신청,하천을 점용 또는 사용하는 자가 그 허가가 실효되거나 점용 또는 사용을 폐지한 때에 하천을 원상으로 회복시켜야 하나 원상복구의무면제 사유가 있을 때 이를 신청하기 위한 민원사무입니다.,기타,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0567,하천점용허가(하천예정지·홍수관리구역안에서의 행위허가) 기간연장허가,"하천점용허가(하천예정지, 홍수관리구역안에서의 행위허가) 기간연장 허가를 신청하는 민원사무입니다.",허가,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0559,"하천점용허가(토지, 하천시설의 점용 등)","하천구역(국가하천, 지방하천) 내에서 토지를 점용하고자 하는 자(법인 또는 자연인 포함)가 관계서류를 구비하여 허가 신청하는 민원사무입니다.",허가,복합민원,기타,법 시행규칙 제41조제1항 별표6에서 규정한 수수료,3년,2014.07.16,2014.09.11,,국토교통부,하천운영과
1500000-0558,하천수 사용허가(변경·기간연장) 신청,"하천법상 하천(국가하천, 지방하천)내 하천수의 사용허가(변경·기간연장)를 신청하는 민원사무입니다.",허가,단순민원,요율별 수수료,"하천수 사용료의 1/1,000",3년,2013.04.02,2013.04.03,,국토교통부,하천운영과
1500000-0557,하천공사 준공인가,하천에 관한 공사를 완료한 때에 지체 없이 관리청에 공사준공보고서를 제출하고 준공인가를 받기 위한 민원사무입니다,인가,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0555,하천공사실시계획 (변경)인가,하천공사실시계획을 작성하여 관리청의 인가를 받거나 기 인가 받은 내용 중 변경사항이 있을 때 인가를 신청하기 위한 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0554,하천유지·보수공사 허가,관리청이 아닌 자가 관리청의 허가를 받아 하천공사나 하천의 유지·관리를 할 수 있도록 허가 신청을 하기 위한 민원사무입니다.,허가,단순민원,기타,"공사비(용지비 및 보상비 제외)1/1,000",3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0553,하천공사 허가,"하천공사시행허가신청을 하고자 할 때, 관련 기관(관리청)에 소속되지 아니한 사람이 하천 구역 내에서 관리청의 허가를 받아서 하천공사를 하기 위한 민원사무입니다.",허가,단순민원,요율별 수수료,"공사비(용지비 및 보상비 제외)1/1,000",3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0551,하천법에 의한 권리·의무 승계 신고,하천법에 의한 허가 또는 승인으로 인하여 발생된 권리의무의 승계를 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.04.01,,국토교통부,하천계획과
1500000-0543,교통영향분석.개선대책수립대행자등록(변경등록)신청,교통영향분석.개선대책수립을 대행하고자 하는 자는 국토교통부령이 정하는 기술능력을 갖추어 국토해양부장관에게 등록(변경등록)신청하는 민원사무입니다.,등록,단순민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.02.21,,국토교통부,도시광역교통과
1500000-0542,항공관계협회 설립인가,정기항공운송사업 내지 도심공항터미널업의 사업자가 사업의 건전한 발전과 공동의 이익을 도모하기 위하여 대통령령이 정하는 구분에 따라 항공관계협회를 설립하기 위해 인가를 신청하는 민원사무입니다.,인가,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,항공산업과
1500000-0540,초경량비행장치 신고,초경량비행장치의 소유자가 신고하기 위해 신청하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,5년,2013.04.12,2013.04.13,,국토교통부,항공기술과
1500000-0538,기술표준품 형식승인,"항공기등의 안전성 확보를 위하여 기술표준품을 설계, 제작하고자 하는 자는 당해 기술표준품의 설계, 제작에 대하여 형식승인을 얻도록 신청하는 민원사무입니다.",승인,단순민원,기타,항공법시행규칙제328조,10년,2013.04.12,2013.04.13,,국토교통부,항공기술과
1500000-0537,항공기 수리개조승인,"감항증명을 받은 항공기의 소유자등은 당해 항공기등 또는 장비품, 부품에 대하여 수리개조를 하고자 하는 경우에 신청하는 민원사무입니다.",검사,단순민원,기타,항공기 등에 관한 수수료(국토교통부고시)에 의함,10년,2014.03.11,2014.04.01,,국토교통부,항공기술과
1500000-0534,항공기부품 등 제작자증명,"항공기등에 사용할 장비품 또는 부품을 제작하고자 하는 자는 기술기준에 적합하게 장비품 또는 부품을 제작할 수 있는 인력, 설비, 기술 및 검사체계 등을 갖추고 있는 지에 대하여 인증을 받고자 하는 경우에 신청하는 민원사무입니다.",증명,단순민원,기타,항공법시행규칙제328조,10년,2013.04.12,2013.04.13,,국토교통부,항공기술과
1500000-0533,항공기등록원부 등본(초본)발급(열람),항공기등록원부의 등본이나 초본의 발급 시 신청하는 민원사무입니다.,교부,단순민원,단일 수수료,용지1매당 300원,3년,2013.04.12,2013.04.13,,국토교통부,항공기술과
1500000-0532,항공기 등 형식증명,항공기 발동기 또는 프로펠러의 형식을 증명하기 위한 민원서류입니다.,증명,단순민원,기타,항공기 등에 관한 수수료(국토교통부 고시)에 의함,3년,2014.03.10,2014.04.01,,국토교통부,항공기술과
1500000-0531,항공기 소음기준 적합증명,항공기의 소유자가 이를 항공에 사용하기 위해 소음기준적합증명을 받기 위해 신청하는 민원사무입니다.,증명,단순민원,기타,항공기 등에 관한 수수료(국토교통부고시)에 의함,3년,2014.03.11,2014.04.01,,국토교통부,항공기술과
1500000-0530,항공기 감항증명,항공기가 안전하게 비행할 수 있는 성능이 있다는 증명(감항증명)을 받고자 하는 자가 지방항공청에 이를 신청하는 민원사무입니다.,증명,단순민원,기타,항공기등에 관한 수수료(국토교통부고시)에 의함,3년,2014.03.10,2014.04.01,,국토교통부,항공기술과
1500000-0529,항공기변경등록,"항공기를 소유 또는 임차하여 항공기를 사용할 수 있는 권리가 있는 자가 등록사항에 변경이 있는 때에, 그 사유가 있는 날부터 15일 이내에 국토교통부장관에게 변경등록을 신청하는 민원사무입니다.",등록,단순민원,단일 수수료,"8,200원",3년,2014.03.05,2014.03.06,,국토교통부,항공기술과
1500000-0528,항공기등록,항공기를 소유 또는 임차하여 항공기를 사용할 수 있는 권리가 있는 자가 이를 국토교통부장관에게 등록하는 민원사무입니다.,등록,단순민원,단일 수수료,"8,200원",3년,2014.03.11,2014.04.01,,국토교통부,항공기술과
1500000-0526,공항시설 준공 확인 전사용허가,준공검사필증을 교부 받기 전에 공항개발사업으로 조성 또는 설치된 토지 및 공항시설을 사용하기 위해 준공 전 사용의 허가를 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2015.11.26,2015.11.30,,국토교통부,공항정책과
1500000-0525,공항시설 준공검사신청,사업시행자가 공항시설준공공사를 완료한 때에 지체 없이 공사준공보고서를 제출하고 준공검사를 신청하는 민원사무입니다.,검사,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0524,공항개발사업 실시계획 변경승인,승인 받은 공항개발사업실시계획을 변경하고자 할 경우 신청하는 민원사무입니다.,승인,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0523,공항개발사업 실시계획승인,공항개발사업시행자가 실시계획을 수립한 때에 국토교통부장관의 실시계획 승인을 얻기 위하여 신청하는 민원사무입니다.,승인,복합민원,수수료 없음,수수료 없음,3년,2014.02.20,2014.02.21,,국토교통부,공항정책과
1500000-0522,공항개발사업시행허가,국토교통부장관 외의 자로서 공항개발사업을 시행하고자 하는 자가 허가를 받기 위해 신청하는 민원사무입니다.,허가,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0517,비행장 및 항행안전시설 사용료 (변경)신고,비행장 및 항행안전시설의 설치자 또는 관리자가 그가 설치하거나 관리하는 비행장 및 항행안전시설을 사용 또는 이용하는 자로부터 징수하는 사용요금을 정하거나 변경할 때에 신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0515,"비행장, 항행안전시설사용(휴지·폐지·재개) 통보","비행장, 항행안전시설 설치자가 비행장, 항행안전시설의 사용을 휴지.폐지, 사용재개하고자 하는 경우에 통보하여야 하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0514,"비행장시설, 항공등화시설, 항행안전무선시설, 항공정보통신시설 변경통보","비행장시설, 항공등화시설, 항행안전무선시설, 항공정보통신시설 설치자가 당해 시설 중 국토교통부령이 정하는 사항을 변경하고자 하는 경우에 허가를 신청하는 민원사무입니다.",허가,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0513,"비행장, 항공등화시설, 항행안전무선시설, 항공정보통신시설 사용개시신고","비행장, 항공등화시설, 항행안전무선시설, 항공정보통신시설의 완성검사를 한 때에 한해 당해 시설의 사용 개시를 신고하는 민원사무입니다.",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0512,"비행장시설, 항공등화시설, 항행안전무선시설, 항공정보통신시설 공사 완성검사","비행장시설, 항공등화시설, 항행안전무선시설, 항공정보통신시설 설치 허가를 받은 자가 당해 시설의 공사가 완료된 때에 완성검사를 받기 위해 신청하는 민원사무입니다.",검사,단순민원,기타,"항공법 시행규칙 제328조에 의함(5,270원~ 80,670원)",3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0511,"비행장, 항공등화시설, 항행안전무선시설, 항공정보통신시설 설치허가","비행장, 항공등화시설, 항행안전무선시설, 항공정보통신시설을 설치하고자 하는 자가 허가를 받기 위해 신청하는 민원사무입니다.",허가,단순민원,기타,"항공법 시행규칙 제328조에 의함 (3,240원~ 20,840원)",3년,2013.04.12,2013.04.13,,국토교통부,공항정책과
1500000-0505,상업서류송달업 (변경) 신고,상업서류송달업을 하고자 하는 자가 (변경)신고하는 민원사무입니다.,신고,단순민원,수수료 없음,수수료 없음,3년,2016.03.10,2016.03.24,,국토교통부,국제항공과
1500000-0504,"항공기사용사업, 항공기정비업, 항공기취급업, 상업서류송달업, 도심공항터미널업, 항공운송총대리점업 폐업허가(신고)","항공기사용사업, 항공기정비업, 항공기취급업,상업서류송달업,도심공항터미널업 및 항공운송총대리점업의 폐업을 허가(신고) 신청할 경우의 민원사무입니다. ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,항공산업과
1500000-0503,항공기사용사업·항공기정비업.항공기취급업.상업서류송달업.도심공항터미널업.항공운송총대리점업 휴업 허가(신고),"항공기사용사업, 항공기정비업, 항공기취급업,상업서류송달업,항공운송총대리점업,도심공항터미널업의 휴업 허가(신고) 를 신청하는 민원사무입니다 ※ 이 민원의 휴업·폐업신고서는 부가가치세법 시행령 제10조제1항에 의거 세무서에 제출하는 휴업·폐업신고서와 함께 세무서에 제출할 수 있습니다",신고,단순민원,수수료 없음,수수료 없음,3년,2013.04.12,2013.04.13,,국토교통부,항공산업과
1500000-0502,법인합병인가,정기항공운송사업자가 다른 항공운송사업자 또는 항공운송사업외의 사업을 경영하는 자와 합병하고자 하는 경우에는 국토교통부장관의 인가를 받아야 하는 민원사무입니다.,인가,단순민원,단일 수수료,"10,000원",3년,2014.03.05,2014.03.06,,국토교통부,항공산업과
1500000-0501,사업양도·양수인가,"항공운송사업 양도,양수인가를 신청할 경우의 민원사무입니다.",인가,단순민원,단일 수수료,"10,000원",3년,2013.04.12,2013.04.13,,국토교통부,항공산업과
1500000-0500,"운수에 관한 협정, 제휴에 관한 협정 체결(변경) 인가","정기항공운송사업자가 다른 항공운송사업자와 연계운수에 관한 계약, 운임협정 기타 운수에 관한 협정을 체결하고자 하거나 이를 변경하고자 하는 경우에 국토교통부장관의 인가를 받기 위해 신청하는 민원사무입니다.",인가,단순민원,기타,「항공법 시행규칙」 제328조,3년,2016.03.10,2016.03.23,,국토교통부,국제항공과
1500000-0499,소형항공운송사업(항공기사용사업) 등록,소형항공운송사업 및 항공기사용사업을 등록하기 위해 신청하는 민원사무입니다.,등록,단순민원,단일 수수료,"10,000원",3년,2013.04.12,2013.04.13,,국토교통부,항공산업과
1500000-0498,국제항공운송사업 운임 및 요금 인가(변경인가),국제항공노선의 여객 또는 화물(우편물을 제외)의 운임 및 요금을 정하거나 변경하고자 하는 경우 신청하는 민원사무입니다.,인가,단순민원,기타,없음,3년,2016.03.10,2016.03.23,,국토교통부,국제항공과
